amostra_id,atividade_id,troco_id,zona_ordem,valor,variavel,limite_inferior,limite_superior,razao
22259327797_137_Z5,22259327797,137,5,769.9275362318866,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22259327797_138_Z5,22259327797,138,5,783.0853563038382,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22259327797_139_Z5,22259327797,139,5,844.3465491923569,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22259327797_170_Z5,22259327797,170,5,719.4244604316574,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22259327797_181_Z5,22259327797,181,5,767.543859649132,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22259327797_182_Z5,22259327797,182,5,731.6134000770047,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22259327797_259_Z4,22259327797,259,4,737.2072853425427,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22610623020_56_Z2,22610623020,56,2,738.4468794664123,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_15_Z3,22664327478,15,3,1002.615518744556,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_18_Z3,22664327478,18,3,741.626794258374,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_21_Z2,22664327478,21,2,928.381962864722,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_49_Z4,22664327478,49,4,738.7646213831243,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_52_Z4,22664327478,52,4,801.1806873286977,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_53_Z4,22664327478,53,4,902.4252679075004,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_54_Z5,22664327478,54,5,827.1787296898102,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_72_Z4,22664327478,72,4,765.5332027772822,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_77_Z4,22664327478,77,4,832.958126969832,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_79_Z4,22664327478,79,4,1267.9628064243363,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_80_Z4,22664327478,80,4,828.247602441157,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_92_Z4,22664327478,92,4,783.0260166708736,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_94_Z4,22664327478,94,4,1094.2384993300643,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_95_Z5,22664327478,95,5,1287.8445549028404,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_96_Z5,22664327478,96,5,1439.5994158147212,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_97_Z5,22664327478,97,5,1273.3620866707847,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_98_Z4,22664327478,98,4,1200.600300150088,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_99_Z4,22664327478,99,4,794.6465913843477,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_101_Z4,22664327478,101,4,741.2252016568581,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_102_Z4,22664327478,102,4,850.7135016465515,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_104_Z3,22664327478,104,3,1067.4303566779272,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_105_Z3,22664327478,105,3,939.5184967704192,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_115_Z4,22664327478,115,4,729.6538821328369,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_139_Z5,22664327478,139,5,791.9049714034468,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_140_Z5,22664327478,140,5,997.4067424695768,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_141_Z5,22664327478,141,5,754.5183365502628,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_158_Z5,22664327478,158,5,833.3333333333364,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_159_Z5,22664327478,159,5,974.3698368989614,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_160_Z5,22664327478,160,5,927.6437847866378,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_161_Z5,22664327478,161,5,948.6931268151084,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_162_Z5,22664327478,162,5,811.5236356258882,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_190_Z5,22664327478,190,5,877.0391159445678,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_191_Z5,22664327478,191,5,913.7635636779186,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_192_Z5,22664327478,192,5,1025.524156791225,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_201_Z5,22664327478,201,5,961.3458842379276,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_202_Z5,22664327478,202,5,1111.1111111111036,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
