troco_id,distancia_inicio_m,distancia_fim_m,comprimento_troco_m,altitude_inicio_m,altitude_fim_m,altitude_media_m,altitude_normalizada,declive_pct,distancia_inicio_km,subida_acumulada_m,zona_ordem,zona_limite_inferior_bpm,zona_limite_superior_bpm,zona_aberta,ritmo_previsto_s_km,previsao_valida,pouco_suporte,n_amostras_suporte,n_atividades_suporte,ritmo_previsto_mmss_km,tempo_troco_previsto_s
96,4800.0,4850.0,50.0,270.49558232931724,271.08000000000004,270.8825970548862,0.2708825970548862,1.1688353413655932,4.8,79.63547206621848,4,165,185,0,413.7538072239485,True,False,175,14,06:54/km,20.687690361197426
97,4850.0,4900.0,50.0,271.08000000000004,271.0126481726431,271.0492009881196,0.2710492009881196,-0.13470365471391688,4.85,79.63547206621848,4,165,185,0,410.8454496126114,True,False,159,14,06:51/km,20.54227248063057
98,4900.0,4950.0,50.0,271.0126481726431,271.05470079690895,271.01248863988855,0.2710124886398885,0.08410524853172774,4.9,79.67752469048435,4,165,185,0,410.051971869577,True,False,164,14,06:50/km,20.50259859347885
99,4950.0,5000.0,50.0,271.05470079690895,272.9567347851362,271.8655220612148,0.2718655220612148,3.804067976454462,4.95,81.57955867871158,4,165,185,0,440.47090165257123,True,False,179,15,07:20/km,22.02354508262856
100,5000.0,5050.0,50.0,272.9567347851362,274.9668433971527,273.9898470286464,0.2739898470286464,4.02021722403299,5.0,83.58966729072807,4,165,185,0,440.47090165257123,True,False,172,15,07:20/km,22.02354508262856
101,5050.0,5100.0,50.0,274.9668433971527,276.5723063973064,275.8886467729165,0.2758886467729165,3.210926000307495,5.05,85.19513029088182,4,165,185,0,435.05481509426414,True,False,182,15,07:15/km,21.752740754713205
102,5100.0,5150.0,50.0,276.5723063973064,275.5891604180057,276.1733841844296,0.2761733841844296,-1.9662919586014596,5.1,85.19513029088182,4,165,185,0,412.2878390039091,True,False,113,14,06:52/km,20.614391950195454
103,5150.0,5199.35,49.350000000000364,275.5891604180057,276.5146691823899,275.8258670371174,0.2758258670371174,1.8753976988535486,5.15,86.12063905526605,4,165,185,0,429.4863667881669,True,False,171,14,07:09/km,21.19515220099619
0,0.0,50.0,50.0,279.51320754716977,280.69875559294815,280.2090418227329,0.2802090418227329,2.371096091556751,0.0,1.1855480457783756,5,185,206,0,320.6107730313043,True,True,1,1,05:21/km,16.030538651565216
1,50.0,100.0,50.0,280.69875559294815,280.0,280.34127296136245,0.28034127296136246,-1.3975111858962919,0.05,1.1855480457783756,5,185,206,0,297.84379694094923,True,True,7,1,04:58/km,14.892189847047463
2,100.0,150.0,50.0,280.0,279.56000000000006,279.7533333333333,0.2797533333333333,-0.8799999999998818,0.1,1.1855480457783756,5,185,206,0,297.84379694094923,True,True,9,1,04:58/km,14.892189847047463
3,150.0,200.0,50.0,279.56000000000006,278.8,279.25333333333333,0.27925333333333335,-1.5200000000000955,0.15,1.1855480457783756,5,185,206,0,297.84379694094923,True,False,8,2,04:58/km,14.892189847047463
4,200.0,250.0,50.0,278.8,277.82019834710746,278.2726997245179,0.2782726997245179,-1.9596033057850946,0.2,1.1855480457783756,5,185,206,0,297.84379694094923,True,False,9,2,04:58/km,14.892189847047463
5,250.0,300.0,50.0,277.82019834710746,277.4131274131274,277.5896865247775,0.2775896865247775,-0.8141418679600747,0.25,1.1855480457783756,5,185,206,0,297.84379694094923,True,False,13,2,04:58/km,14.892189847047463
6,300.0,350.0,50.0,277.4131274131274,276.8948972224269,277.215191088827,0.277215191088827,-1.0364603814010707,0.3,1.1855480457783756,5,185,206,0,297.84379694094923,True,False,11,2,04:58/km,14.892189847047463
7,350.0,400.0,50.0,276.8948972224269,275.66014184397164,276.2507402071871,0.2762507402071871,-2.469510756910495,0.35,1.1855480457783756,5,185,206,0,297.84379694094923,True,False,11,3,04:58/km,14.892189847047463
8,400.0,450.0,50.0,275.66014184397164,274.4448093656067,275.10436358148735,0.2751043635814873,-2.4306649567298564,0.4,1.1855480457783756,5,185,206,0,297.84379694094923,True,False,12,3,04:58/km,14.892189847047463
9,450.0,500.0,50.0,274.4448093656067,273.0623216574282,273.6172159494311,0.2736172159494311,-2.7649754163570606,0.45,1.1855480457783756,5,185,206,0,297.84379694094923,True,False,11,3,04:58/km,14.892189847047463
10,500.0,550.0,50.0,273.0623216574282,274.1552000415266,273.6204074265502,0.2736204074265502,2.185756768196825,0.5,2.278426429876788,5,185,206,0,309.7553243597908,True,False,9,4,05:10/km,15.48776621798954
11,550.0,600.0,50.0,274.1552000415266,272.63671936339523,273.53466901883223,0.2735346690188322,-3.0369613562627364,0.55,2.278426429876788,5,185,206,0,297.84379694094923,True,False,10,3,04:58/km,14.892189847047463
12,600.0,650.0,50.0,272.63671936339523,270.6532351858668,271.7019411809002,0.2717019411809002,-3.966968355056906,0.6,2.278426429876788,5,185,206,0,297.84379694094923,True,False,5,3,04:58/km,14.892189847047463
13,650.0,700.0,50.0,270.6532351858668,268.7387692307692,269.5497870199976,0.2695497870199976,-3.828931910195138,0.65,2.278426429876788,5,185,206,0,297.84379694094923,True,False,5,3,04:58/km,14.892189847047463
14,700.0,750.0,50.0,268.7387692307692,268.76186440677964,268.73062755323775,0.26873062755323773,0.04619035202085797,0.7,2.301521605887217,5,185,206,0,297.84379694094923,True,False,15,4,04:58/km,14.892189847047463
15,750.0,800.0,50.0,268.76186440677964,268.79115942028983,268.7399209858348,0.26873992098583477,0.058590027020386515,0.75,2.3308166193974102,5,185,206,0,297.84379694094923,True,False,15,4,04:58/km,14.892189847047463
16,800.0,850.0,50.0,268.79115942028983,268.62350989412187,268.800214582705,0.268800214582705,-0.3352990523359267,0.8,2.3308166193974102,5,185,206,0,297.84379694094923,True,False,19,5,04:58/km,14.892189847047463
17,850.0,900.0,50.0,268.62350989412187,266.7224894256916,267.7673802864545,0.2677673802864545,-3.8020409368605215,0.85,2.3308166193974102,5,185,206,0,297.84379694094923,True,False,6,3,04:58/km,14.892189847047463
18,900.0,950.0,50.0,266.7224894256916,263.93837072215376,265.36460369983575,0.2653646036998358,-5.568237407075685,0.9,2.3308166193974102,5,185,206,0,298.674302929946,True,True,1,1,04:59/km,14.9337151464973
